Group,Items
Lessons learned from mistakes and experiences,I made a mistake that lead to a breakdown on some internal service during an internship. I learned that testing is important in real life.
Lessons learned from mistakes and experiences,"When my code got deployed, it broke the program, meaning nobody could sign up for shifts. I needed to validate the results of my code."
Lessons learned from mistakes and experiences,"I learned that being over zealous and volunteering can not only harm me, but could be a huge inconvenience to others as well."
Lessons learned from mistakes and experiences,"I should not make commitments that drain me and leave me without sleep because I end up not being present, and it is unhealthy."
Importance of simplicity and efficiency,I learned that there are scenarios where some apparently less efficient solutions are actually more efficient and should be kept in mind.
Importance of simplicity and efficiency,I learned that the simplest can sometimes beat the most innovative. I strive to build solutions that are better suited for the end user.
Personal growth and self-reflection,"Regardless of how well I manage my time, I would still have a limited number of things that I could commit to and do well in."
Personal growth and self-reflection,Wrong about how I should manage my time abroad-focused on schoolwork-wished made more friends and explored and traveled more.
Personal growth and self-reflection,Didn't really know what computer programming actually was but I thought I would hate it. Ended up loving the class and realizing I love CS.
Importance of user control in UI design,"One of the most valued characteristics of a good UI is letting people have as much control as possible, so as to satisfy all user groups."
